"lat"	"lon"
-11.7573	-77.3498
-11.7573	-77.3498
-11.7573	-77.3498
-11.7573	-77.3498
-11.7573	-77.3498
-11.7573	-77.3498
-12.1292	-77.2339
-12.1292	-77.2339
-12.1292	-77.2339
-12.1292	-77.2339
-12.0765	-77.208
-12.0765	-77.208
-12.0765	-77.208
-12.0765	-77.208
-12.1144	-77.213
-5.63333	-81
-5.63333	-81
-5.63333	-81
-5.63333	-81
-5.63333	-81
-5.63333	-81
-12.0765	-77.208
-12.0765	-77.208
-12.0765	-77.208
-12.7526	-77.7928
-12.7526	-77.7928
-8.46585	-83.0182
0.251	-66.968
-8.057	-63.22
-15.672	-44.637
-19.878	-45.435
-18.228	-45.248
-20.097	-44.042
-15.323	-43.665
-18.725	-44.352
-18.721	-44.347
-20.312	-43.567
-17.984	-44.169
-15.672	-44.637
-16.152	-45.694
-15.672	-44.637
-15.672	-44.637
-19.774	-45.463
4.506	-67.896
-4.55	-34.52
-4.55	-34.52
-24.2122	-47.4838
-24.2122	-47.4838
-24.5947	-48.2148
-24.7161	-47.6912
-24.5705	-48.6713
-24.2688	-47.4126
-24.7161	-47.6912
-24.2122	-47.4838
-24.4997	-47.739
-24.7569	-48.0687
-24.1008	-46.7309
-23.3454	-44.8482
-24.0886	-46.7319
-24.182	-46.843
-23.556	-45.148
-24.136	-46.869
-23.547	-45.087
-24.108	-46.859
-24.369	-46.958
-23.374	-46.053
-23.596	-45.569
-23.369	-46.024
-22.637	-44.616
-22.786	-45.456
-23.374	-46.053
-22.584	-45.169
-21.24	-43.51
-23.728	-46.814
-22.6734	-53.0858
-22.8691	-48.3676
-17.8459	-57.4033
-19.683	-48.669
-23.524	-45.89
-23.0243	-48.8281
-21.1931	-49.1228
-23.15	-48.2667
-22.6471	-53.0769
-21.9271	-47.3679
-21.5748	-46.3236
-17.256	-48.5056
-20.2362	-48.6783
-22.6503	-53.0916
-21.327	-47.2388
-23.9247	-50.6243
-23.9383	-50.729
-22.8994	-48.3867
-22.4489	-45.3464
-22.9392	-50.2523
-23.2418	-51.2183
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-21.891	-40.709
-22.374	-41.721
-22.374	-41.721
-22.374	-41.721
-22.374	-41.721
-22.374	-41.721
-16.773	-64.795
-20.941	-64.259
-17.611	-65.603
-11.414	-66.396
-10.756	-65.907
-10.756	-65.907
-10.837	-65.859
-11.267	-66.297
-10.756	-65.907
-10.756	-65.907
-19.431	-66.776
-18.012	-67.867
-19.183	-64.459
-17.928	-65.304
-17.928	-65.304
-11.108	-66.598
-11.108	-66.598
-11.393	-66.408
-19.165	-67.022
-22.9414	-48.5842
-22.9414	-48.5842
-4.143	-81.134
-14.248	-39.358
-9	-34.59
-9	-34.59
-9	-34.59
-15.5815	-47.3425
-6.397	-81.075
-12.3	-77.9
-3.85	-32.45
-3.85	-32.45
-3.85	-32.45
-3.85	-32.45
-21	-40
-15.8499	-47.387
7.65	-58.9333
7.48333	-59.5667
7.66667	-59.2333
7.46667	-59.5833
7.66667	-59.2333
0.96902	-61.9006
1.52194	-59.8214
1.06075	-61.85
-3.1	-60.0167
-23.369	-46.024
-18.136	-45.245
-25.0921	-52.4946
-25.0921	-52.4946
-20.3427	-55.7262
-20.3427	-55.7262
-22.8204	-48.1041
-22.6692	-53.0847
-22.9414	-48.5842
-23.0963	-48.2514
-23.7703	-46.311
-21.107	-50.265
-22.6347	-52.8221
-23.667	-46.183
-23.667	-46.183
-23.9545	-51.1141
-23.9545	-51.1141
-25.319	-52.489
-22.7914	-53.3494
-22.7221	-53.2865
-21.6241	-47.8063
-22.65	-53.092
-22.6734	-53.0858
-15.5817	-47.5064
-21.0129	-49.6903
-21.327	-47.239
-23.527	-45.762
-23.1004	-48.2401
-21.975	-47.418
-22.7914	-53.3494
-22.6503	-53.0916
-24.055	-46.341
-25.105	-47.781
-25.105	-47.781
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.506	-45.034
-23.863	-46.152
-37.383	-48.4
-23.863	-46.152
-23.863	-46.152
-23.863	-46.152
-23.863	-46.152
-25.058	-47.887
-25.058	-47.887
-25.105	-47.781
-25.105	-47.781
-25.105	-47.781
-4.552	-56.289
-10.8031	-40.3801
-4.552	-56.289
-5.208	-56.931
-14.76	-40.0844
-19.0026	-42.1278
-20.7297	-42.8488
0.88777	-59.5744
-22.639	-52.16
-22.639	-52.16
-22.639	-52.16
-27.265	-54.0526
-25.38	-50.38
-13.3988	-44.3337
-14.6516	-44.0919
