species,habitat
Engraulis ringens,Marine
Scomber japonicus,Marine
Trachurus murphyi,Marine
Odontesthes regia,Marine and freshwater
Sciaena deliciosa,Marine
Paralabrax callaensis,Marine
Ethmidium maculatum,Marine
Sarda chiliensis,Marine
Coryphaena hippurus,Marine
Imparfinis minutus,Freshwater
Rhamdia quelen,Freshwater
Astyanax bimaculatus,Freshwater
Trichomycterus brasiliensis,Freshwater
Roeboides xenodon,Freshwater
Knodus moenkhausii,Freshwater
Harttia leiopleura,Freshwater
Eigenmannia virescens,Freshwater
Megaleporinus sp08,Unknown
Pamphorichthys hollandi,Freshwater
Pimelodella vittata,Freshwater
Pimelodus pohli,Freshwater
Trachurus declivis,Marine
Pseudochalceus kyburzi,Freshwater
Dekeyseria pulchra,Freshwater
Tetrapturus georgii,Marine
Astyanax intermedius,Freshwater
Psalidodon parahybae,Freshwater
Gymnotus sylvius,Freshwater
Pareiorhina brachyrhyncha,Freshwater
Trichomycterus giganteus,Freshwater
Mimagoniates microlepis,Freshwater
Steindachnerina insculpta,Freshwater
Parodon nasus,Freshwater
Brycon hilarii,Freshwater
Characidium gomesi,Freshwater
Phenacorhamdia tenebrosa,Freshwater
Corumbataia cuestae,Freshwater
Clarias gariepinus,Freshwater
Hypostomus heraldoi,Freshwater
Hypostomus paulinus,Freshwater
Rhinolekos britskii,Freshwater
Rineloricaria latirostris,Freshwater
Pimelodus maculatus,Freshwater
Imparfinis mirini,Freshwater
Corydoras ehrhardti,Freshwater
Hypostomus myersi,Freshwater
Phalloceros harpagos,Freshwater
Hypostomus strigaticeps,Freshwater
Isbrueckerichthys saxicola,Freshwater
Lepidocybium flavobrunneum,Marine
Emblemariopsis signifer,Marine
Micropogonias furnieri,Marine
Dactylopterus volitans,Marine
Opisthonema oglinum,Marine
Bagre bagre,Marine
Selene setapinnis,Marine
Priacanthus arenatus,Marine
Ophidion holbrookii,Marine
Scomberomorus brasiliensis,Marine
Mugil liza,Marine and freshwater
Trichiurus lepturus,Marine
Nebris microps,Marine
Odontognathus mucronatus,Marine and freshwater
Peprilus paru,Marine
Stellifer rastrifer,Marine
Thunnus obesus,Marine
Thunnus maccoyii,Marine
Hisonotus armatus,Freshwater
Dormitator maculatus,Marine and freshwater
Piabina argentea,Freshwater
Nematocharax venustus,Freshwater
Steindachnerina conspersa,Freshwater
Genyatremus luteus,Marine
Holocentrus adscensionis,Marine
Diplectrum formosum,Marine
Moenkhausia aurantia,Freshwater
Cichla piquiti,Freshwater
Hyphessobrycon eques,Freshwater
Dissostichus eleginoides,Marine
Ophioblennius trinitatis,Marine
Abudefduf saxatilis,Marine
Stegastes rocasensis,Marine
Entomacrodus vomerinus,Marine
Coryphopterus glaucofraenum,Marine
Parapristella aubynei,Freshwater
Cyphocharax helleri,Freshwater
Prochilodus rubrotaeniatus,Freshwater
Hoplias macrophthalmus,Freshwater
Ageneiosus inermis,Freshwater
Serrasalmus hastatus,Freshwater
Serrasalmus rhombeus,Freshwater
Thunnus albacares,Marine
Halichoeres radiatus,Marine
Trachurus novaezelandiae,Marine
Selene brevoortii,Marine
Hisonotus laevior,Freshwater
Leporinus lacustris,Freshwater
Jupiaba polylepis,Freshwater
Rachoviscus crassiceps,Freshwater
Pangasianodon hypophthalmus,Freshwater
Pseudoplatystoma tigrinum,Freshwater
Osteoglossum bicirrhosum,Freshwater
Brachyplatystoma vaillantii,Freshwater
Neoplecostomus selenae,Freshwater
Leporinus piau,Freshwater
Pseudoplatystoma fasciatum,Freshwater
Auxis thazard,Marine
Thunnus tonggol,Marine
Conorhynchos conirostris,Freshwater
Mugil cephalus,Marine and freshwater
Gymnogeophagus gymnogenys,Freshwater
Colossoma macropomum,Freshwater
Thunnus alalunga,Marine
Panaque nigrolineatus,Freshwater
Creagrutus meridionalis,Freshwater
Istiophorus platypterus,Marine
Schizodon intermedius,Freshwater
Satanoperca pappaterra,Freshwater
Trichomycterus diabolus,Freshwater
Hisonotus francirochai,Freshwater
Astyanax ribeirae,Freshwater
Acestrorhynchus lacustris,Freshwater
Glandulocauda melanopleura,Freshwater
Metynnis maculatus,Freshwater
Sternopygus macrurus,Freshwater
Platanichthys platana,Freshwater
Psalidodon paranae,Freshwater
Astyanax scabripinnis,Freshwater
Catathyridium jenynsii,Freshwater
Laetacara araguaiae,Freshwater
Serrapinnus notomelas,Freshwater
Neoplecostomus paranensis,Freshwater
Neoplecostomus bandeirante,Freshwater
Cyphocharax naegelii,Freshwater
Brycon orbignyanus,Freshwater
Pseudoplatystoma corruscans,Freshwater
Pterygoplichthys anisitsi,Freshwater
Hypostomus derbyi,Freshwater
Hypostomus commersoni,Freshwater
Haemulon steindachneri,Marine
Anisotremus interruptus,Marine
Anisotremus virginicus,Marine
Mugil incilis,Marine
Fistularia petimba,Marine
Chaetodipterus faber,Marine
Urophycis brasiliensis,Marine
Cynoscion guatucupa,Marine
Dules auriga,Marine
Achirus lineatus,Marine
Atherinella brasiliensis,Marine
Hemicaranx amblyrhynchus,Marine
Pomatomus saltatrix,Marine
Oligoplites saliens,Marine
Mugil curema,Marine and freshwater
Cathorops spixii,Marine
Mugil hospes,Marine
Odontesthes argentinensis,Marine and freshwater
Geophagus itapicuruensis,Freshwater
Oncorhynchus mykiss,Marine and freshwater
Geophagus multiocellus,Freshwater
Centropomus parallelus,Marine and freshwater
Sorubim cuspicaudus,Freshwater
Ophioscion scierus,Marine
Bryconamericus turiuba,Freshwater
Pseudopimelodus schultzi,Freshwater
Pseudocorynopoma doriae,Freshwater
Moenkhausia bonita,Freshwater
Saccodon dariensis,Freshwater
Myleus setiger,Freshwater
Centropomus undecimalis,Marine and freshwater
Trachurus japonicus,Marine
Pimelodus microstoma,Freshwater
Sorubim lima,Freshwater
Prochilodus nigricans,Freshwater
Hisonotus leucofrenatus,Freshwater
Psectrogaster rutiloides,Freshwater
Apistogramma agassizii,Freshwater
Anchovia clupeoides,Marine
Hypostomus francisci,Freshwater
Hypostomus unae,Freshwater
Astyanax gisleni,Freshwater
Trinectes microphthalmus,Marine
Pimelodus yuma,Unknown
Sphoeroides testudineus,Marine
Tometes lebaili,Freshwater
Epinephelus itajara,Marine
Knodus heteresthes,Freshwater
Pterois russelii,Marine
Hypostomus annectens,Freshwater
Rhoadsia altipinna,Freshwater
Steatogenys duidae,Freshwater
Auxis rochei,Marine
Pimelodus grosskopfii,Freshwater
Imparfinis mishky,Freshwater
Schizolecis guntheri,Freshwater
Planiloricaria cryptodon,Freshwater
Rhomboplites aurorubens,Marine
Trichomycterus alternatus,Freshwater
Rhamphichthys marmoratus,Freshwater
Ocyurus chrysurus,Marine
Elacatinus pridisi,Marine
Curimata mivartii,Freshwater
Cynopoecilus melanotaenia,Freshwater
Sphoeroides greeleyi,Marine
